"Name","AdminCount","GroupCategory","GroupScope","ManagedBy","SID","SIDHistory","Description","whenCreated","whenChanged","DistinguishedName","CanonicalName"
"Hyper-V Administrators","","Security","DomainLocal","","S-1-5-32-578","","Members of this group have complete and unrestricted access to all features of Hyper-V.","2/12/2015 2:44:38 PM","5/13/2021 2:39:17 PM","CN=Hyper-V Administrators,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Hyper-V Administrators"
"Organization Management","1","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-15756","","","2/9/2013 8:30:06 PM","12/2/2023 6:11:38 PM","CN=Organization Management,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Organization Management"
"Public Folder Management","","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-15757","","","2/9/2013 8:30:06 PM","11/30/2023 10:01:15 PM","CN=Public Folder Management,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Public Folder Management"
"Cloneable Domain Controllers","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-522","","Members of this group that are domain controllers may be cloned.","2/12/2015 2:44:38 PM","5/13/2021 2:39:17 PM","CN=Cloneable Domain Controllers,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Cloneable Domain Controllers"
"Access Control Assistance Operators","","Security","DomainLocal","","S-1-5-32-579","","Members of this group can remotely query authorization attributes and permissions for resources on this computer.","2/12/2015 2:44:39 PM","5/13/2021 2:39:17 PM","CN=Access Control Assistance Operators,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Access Control Assistance Operators"
"Recipient Management","","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-15758","","Members of this management role group have rights to create, manage, and remove Exchange recipient objects in the Exchange organization.","2/9/2013 8:30:07 PM","11/30/2023 10:01:15 PM","CN=Recipient Management,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Recipient Management"
"Remote Management Users","","Security","DomainLocal","","S-1-5-32-580","","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user.","2/12/2015 2:44:39 PM","5/13/2021 2:39:17 PM","CN=Remote Management Users,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Remote Management Users"
"View-Only Organization Management","","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-15759","","Members of this management role group can view recipient and configuration objects and their properties in the Exchange organization.","2/9/2013 8:30:07 PM","5/13/2021 2:40:18 PM","CN=View-Only Organization Management,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/View-Only Organization Management"
"Users","","Security","DomainLocal","","S-1-5-32-545","","Users","6/22/2001 1:20:03 AM","2/7/2024 8:54:12 PM","CN=Users,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Users"
"UM Management","","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-15760","","Members of this management role group can manage Unified Messaging organization, server, and recipient configuration.","2/9/2013 8:30:07 PM","11/30/2023 10:01:14 PM","CN=UM Management,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/UM Management"
"Domain Users","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-513","","All domain users","6/22/2001 1:20:02 AM","11/4/2025 4:47:15 PM","CN=Domain Users,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Domain Users"
"Help Desk","","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-15761","","","2/9/2013 8:30:07 PM","11/30/2023 10:01:15 PM","CN=Help Desk,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Help Desk"
"Protected Users","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-525","","Members of this group are afforded additional protections against authentication security threats. See http://go.microsoft.com/fwlink/?LinkId=298939 for more information.","8/27/2019 3:27:32 PM","5/13/2021 2:39:17 PM","CN=Protected Users,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Protected Users"
"Server Management","","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-15764","","Members of this management role group have permissions to manage all Exchange servers within the Exchange organization, but members don't have permissions to perform operations that have global impact in the Exchange organization.","2/9/2013 8:30:08 PM","5/13/2021 2:40:18 PM","CN=Server Management,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Server Management"
"Storage Replica Administrators","","Security","Global","","S-1-5-32-582","","Members of this group have complete and unrestricted access to all features of Storage Replica.","8/27/2019 3:27:32 PM","5/13/2021 2:39:17 PM","CN=Storage Replica Administrators,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Storage Replica Administrators"
"Key Admins","1","Security","Global","","S-1-5-21-1191714633-765097213-697575874-526","","Members of this group can perform administrative actions on key objects within the domain.","8/27/2019 3:27:32 PM","7/10/2022 9:53:17 AM","CN=Key Admins,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Key Admins"
"Exchange Servers","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-15767","","This group contains all the Exchange servers. This group shouldn't be deleted.","2/9/2013 8:30:10 PM","5/13/2021 2:40:51 PM","CN=Exchange Servers,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Exchange Servers"
"Enterprise Key Admins","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-527","","Members of this group can perform administrative actions on key objects within the forest.","8/27/2019 3:27:32 PM","5/13/2021 2:39:17 PM","CN=Enterprise Key Admins,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Enterprise Key Admins"
"Exchange Trusted Subsystem","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-15768","","This group contains Exchange servers that run Exchange cmdlets on behalf of users via the management service. Its members have permission to read and modify all Exchange configuration, as well as user accounts and groups. This group should not be deleted.","2/9/2013 8:30:10 PM","5/13/2021 2:40:51 PM","CN=Exchange Trusted Subsystem,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Exchange Trusted Subsystem"
"System Managed Accounts Group","","Security","DomainLocal","","S-1-5-32-581","","Members of this group are managed by the system.","8/27/2019 3:27:32 PM","5/13/2021 2:39:17 PM","CN=System Managed Accounts Group,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/System Managed Accounts Group"
"Exchange All Hosted Organizations","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-15769","","This group contains all the Exchange Hosted Organization Mailboxes groups. It's used for applying password setting objects to all hosted mailboxes.This group shouldn't be deleted.","2/9/2013 8:30:10 PM","5/13/2021 2:40:15 PM","CN=Exchange All Hosted Organizations,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Exchange All Hosted Organizations"
"Denied RODC Password Replication Group","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-572","","Members in this group cannot have their passwords replicated to any read-only domain controllers in the domain","2/15/2012 9:44:21 PM","5/13/2021 2:39:17 PM","CN=Denied RODC Password Replication Group,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Denied RODC Password Replication Group"
"Exchange Windows Permissions","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-15770","","This group contains Exchange servers that run Exchange cmdlets on behalf of users via the management service. Its members have permission to read and modify all Windows accounts and groups. This group should not be deleted.","2/9/2013 8:30:10 PM","5/13/2021 2:40:33 PM","CN=Exchange Windows Permissions,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Exchange Windows Permissions"
"Replicator","1","Security","DomainLocal","","S-1-5-32-552","","Supports file replication in a domain","6/22/2001 1:20:03 AM","5/13/2021 2:39:17 PM","CN=Replicator,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Replicator"
"Domain Admins","1","Security","Global","","S-1-5-21-1191714633-765097213-697575874-512","","Designated administrators of the domain","6/22/2001 1:20:02 AM","4/8/2025 7:36:18 PM","CN=Domain Admins,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Domain Admins"
"ExchangeLegacyInterop","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-15771","","This group is for interoperability with Exchange 2003 servers within the same forest. This group should not be deleted.","2/9/2013 8:30:11 PM","5/13/2021 2:40:18 PM","CN=ExchangeLegacyInterop,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/ExchangeLegacyInterop"
"Schema Admins","1","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-518","","Designated administrators of the schema","6/22/2001 1:20:02 AM","8/29/2024 4:53:14 PM","CN=Schema Admins,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Schema Admins"
"Records Management","","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-30398","","Members of this management role group can configure compliance features such as retention policy tags, message classifications, transport rules, and more.","11/14/2016 9:54:02 PM","5/13/2021 2:40:23 PM","CN=Records Management,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Records Management"
"Allowed RODC Password Replication Group","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-571","","Members in this group can have their passwords replicated to all read-only domain controllers in the domain","2/15/2012 9:44:20 PM","5/13/2021 2:39:17 PM","CN=Allowed RODC Password Replication Group,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Allowed RODC Password Replication Group"
"Discovery Management","","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-30399","","Members of this management role group can perform searches of mailboxes in the Exchange organization for data that meets specific criteria.","11/15/2016 4:03:20 PM","5/13/2021 2:40:31 PM","CN=Discovery Management,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Discovery Management"
"Event Log Readers","","Security","DomainLocal","","S-1-5-32-573","","Members of this group can read event logs from local machine","2/15/2012 9:44:21 PM","5/13/2021 2:39:17 PM","CN=Event Log Readers,CN=Builtin,DC=solomonedwards,DC=com","solomonedwards.com/Builtin/Event Log Readers"
"Delegated Setup","","Security","Universal","Organization Management","S-1-5-21-1191714633-765097213-697575874-30400","","Members of this management role group have permissions to install and uninstall Exchange on provisioned servers. Removal of this role group will prevent you from performing future delegated setup operations.This role group shouldn't be deleted.","11/15/2016 4:08:16 PM","5/13/2021 2:40:26 PM","CN=Delegated Setup,OU=Microsoft Exchange Security Groups,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange Security Groups/Delegated Setup"
