"UserName","Name","Service","Host"
"DCC-L-611003KM$","DCC-L-611003KM","HOST","DCC-L-611003KM,DCC-L-611003KM.solomonedwards.com"
"PHL-L-SL510FBZF$","PHL-L-SL510FBZF","HOST","PHL-L-SL510FBZF,PHL-L-SL510FBZFW.solomonedwards.com"
"PHL-L-SL510FBZE$","PHL-L-SL510FBZE","HOST","PHL-L-SL510FBZE,PHL-L-SL510FBZEK.solomonedwards.com"
"DCC-L-510AVFK$","DCC-L-510AVFK","HOST","dcc-l-510avfk.solomonedwards.com,DCC-L-510AVFK"
"PHL-L-SL510BGWK$","PHL-L-SL510BGWK","HOST","PHL-L-SL510BGWK,PHL-L-SL510BGWK.solomonedwards.com"
"PHL-L-SL510BAF0$","PHL-L-SL510BAF0","RestrictedKrbHost","PHL-L-SL510BAF0,PHL-L-SL510BAF0.solomonedwards.com"
"PHL-L-SL510BAF0$","PHL-L-SL510BAF0","HOST","PHL-L-SL510BAF0,PHL-L-SL510BAF0.solomonedwards.com"
"DCC-L-44406B2L$","DCC-L-44406B2L","TERMSRV","DCC-L-44406B2L,DCC-L-44406B2L.solomonedwards.com"
"DCC-L-44406B2L$","DCC-L-44406B2L","RestrictedKrbHost","DCC-L-44406B2L.solomonedwards.com,DCC-L-44406B2L"
"DCC-L-44406B2L$","DCC-L-44406B2L","HOST","DCC-L-44406B2L.solomonedwards.com,DCC-L-44406B2L"
"PHL-L-SL510BAE5$","PHL-L-SL510BAE5","HOST","PHL-L-SL510BAE5.solomonedwards.com,PHL-L-SL510BAE5"
"DCC-D-2000058B$","DCC-D-2000058B","HOST","dcc-d-2000058b.solomonedwards.com,DCC-D-2000058B"
"PHL-L-NX63100BK$","PHL-L-NX63100BK","HOST","PHL-L-NX63100BK,phl-l-nx63100bk.solomonedwards.com"
"DCC-C-EXMD6LF$","DCC-C-EXMD6LF","HOST","dcc-c-exmd6lf.solomonedwards.com,DCC-C-EXMD6LF"
"DCA-C-ENSG630$","DCA-C-ENSG630","HOST","DCA-C-ENSG630,dca-c-ensg630.solomonedwards.com"
"PHL-L-NX613001B$","PHL-L-NX613001B","HOST","PHL-L-NX613001B,phl-l-nx613001b.solomonedwards.com"
"DC01ZV2$","DC01ZV2","HOST","DC01ZV2,dc01zv2.solomonedwards.com"
"PHL-L-M9831H$","PHL-L-M9831H","HOST","PHL-L-M9831H,PHL-L-M9831H.solomonedwards.com"
"DC01ZORIG2$","DC01ZORIG2","HOST","DC01ZORIG2,dc01zorig2.solomonedwards.com"
"DC01TEST$","DC01TEST","HOST","dc01test.solomonedwards.com,DC01TEST"
"PHL-L-HP5303PPT$","PHL-L-HP5303PPT","RestrictedKrbHost","PHL-L-HP5303PPT,PHL-L-HP5303PPT.solomonedwards.com"
"PHL-L-HP5303PPT$","PHL-L-HP5303PPT","HOST","PHL-L-HP5303PPT,PHL-L-HP5303PPT.solomonedwards.com"
"C-WROANE$","C-WROANE","HOST","C-WRoane.solomonedwards.com,C-WROANE"
"C-VBARTON-2$","C-VBARTON-2","HOST","C-VBARTON-2,C-vbarton-2.solomonedwards.com"
